id|cim|teljes_ar|nm_ar|terulet|telekterulet|szobak|kepek_szama|link
183|Budapest II. kerület, Nyúl utca|165 M Ft|1 513 761 Ft / m2|106 m2||3|2|https://ingatlan.com/34876810
184|Budapest II. kerület, Margit körút|109 M Ft|1 354 037 Ft / m2|79 m2||3 + 1 fél|1|https://ingatlan.com/34875513
185|Budapest II. kerület, Víziváros|220 M Ft|2 738 361 Ft / m2|70 m2||3|11|https://ingatlan.com/34874143
187|Budapest II. kerület, Országút|340 M Ft|1 971 014 Ft / m2|170 m2||4 + 1 fél|23|https://ingatlan.com/34871408
188|Budapest XII. kerület, Krisztina körút|110 M Ft|1 527 777 Ft / m2|70 m2||3 + 1 fél|1|https://ingatlan.com/34866251
191|Budapest II. kerület, Káplár utca|149,90 M Ft|1 484 158 Ft / m2|101 m2||3 + 1 fél|1|https://ingatlan.com/34835753
193|Budapest II. kerület, Víziváros|179 M Ft|1 543 103 Ft / m2|116 m2||5|21|https://ingatlan.com/34797103
196|Budapest II. kerület, Szilágyi Erzsébet fasor|116,75 M Ft|1 381 656 Ft / m2|83 m2||2 + 1 fél|1|https://ingatlan.com/34745225
197|Budapest XII. kerület, Krisztinaváros|124,90 M Ft|1 951 562 Ft / m2|62 m2||2 + 1 fél|12|https://ingatlan.com/34723430
198|Budapest II. kerület, Varsányi udvar|119 M Ft|1 776 119 Ft / m2|67 m2||3|19|https://ingatlan.com/34716199
200|Budapest II. kerület, Országút|199 M Ft|2 341 176 Ft / m2|85 m2||3|0|https://ingatlan.com/34690268
203|Budapest II. kerület, Margit körút 54.|129 M Ft|1 290 000 Ft / m2|100 m2||4|14|https://ingatlan.com/34658085
207|Budapest XII. kerület, Krisztina körút|139 M Ft|1 158 333 Ft / m2|120 m2||4|25|https://ingatlan.com/34567952
208|Budapest II. kerület, Bem rakpart 42.|190 M Ft|1 637 931 Ft / m2|116 m2||3|1|https://ingatlan.com/34558952
210|Budapest II. kerület, Bem rakpart|204,90 M Ft|1 862 727 Ft / m2|110 m2||4|0|https://ingatlan.com/34527621
212|Budapest II. kerület, Varsányi udvar|119,90 M Ft|1 789 552 Ft / m2|67 m2||3|21|https://ingatlan.com/34485743
213|Budapest XII. kerület, Városmajor utca 15.|400 M Ft|1 515 151 Ft / m2|258 m2|258 m2|7|2|https://ingatlan.com/34472312
215|Budapest II. kerület, Retek utca 21.|159 M Ft|1 892 857 Ft / m2|83 m2||3 + 1 fél|1|https://ingatlan.com/34333467
217|Budapest II. kerület, Margit körút|105 M Ft|1 280 487 Ft / m2|81 m2||2 + 1 fél|10|https://ingatlan.com/32513069
