id|cim|teljes_ar|nm_ar|terulet|telekterulet|szobak|kepek_szama|link
164|Budapest XXII. kerület, Budatétény|185 M Ft|837 104 Ft / m2|221 m2|221 m2|5 + 2 fél|23|https://ingatlan.com/34557455
165|Budapest XXII. kerület, Baross Gábor-telep|129 M Ft|955 555 Ft / m2|135 m2|400 m2||16|https://ingatlan.com/34496779
166|Budapest XXII. kerület, Nagytétény|249 M Ft|597 122 Ft / m2|417 m2|417 m2||25|https://ingatlan.com/34543978
167|Budapest XXII. kerület, Kiránduló utca|199,90 M Ft|908 636 Ft / m2|220 m2|220 m2|6 + 2 fél|25|https://ingatlan.com/34784150
168|Budapest XXII. kerület, Baross Gábor-telep|229,90 M Ft|957 916 Ft / m2|240 m2|240 m2||30|https://ingatlan.com/34740022
169|Budapest XXII. kerület, Nagytétény|255 M Ft|1 197 183 Ft / m2|213 m2|213 m2|6 + 1 fél|16|https://ingatlan.com/34595841
170|Budapest XXII. kerület, Mátyás király utca|149,90 M Ft|734 803 Ft / m2|204 m2|204 m2||26|https://ingatlan.com/34359893
171|Budapest XXII. kerület, Vereskő utca|266,25 M Ft|1 393 979 Ft / m2|191 m2|1215 m2||3|https://ingatlan.com/33435173
172|Budapest XXII. kerület, Nagytétény|136,90 M Ft|507 037 Ft / m2|270 m2|270 m2||10|https://ingatlan.com/33973158
173|Budapest XXII. kerület, Budafok|163,90 M Ft|607 037 Ft / m2|270 m2|270 m2|6 + 1 fél|12|https://ingatlan.com/34431842
174|Budapest XXII. kerület, Narancsvirág utca|157 M Ft|887 005 Ft / m2|177 m2|600 m2||20|https://ingatlan.com/34653325
175|Budapest XXII. kerület, Nagytétény - Óhegy|135 M Ft|1 350 000 Ft / m2|100 m2|1440 m2||12|https://ingatlan.com/34253880
178|Budapest XXII. kerület, Angeli utca|165 M Ft|1 044 303 Ft / m2|158 m2|495 m2|6 + 2 fél|0|https://ingatlan.com/34675073
179|Budapest XXII. kerület, Baross Gábor-telep|189 M Ft|1 021 621 Ft / m2|185 m2|1058 m2||30|https://ingatlan.com/34762501
180|Budapest XXII. kerület, Budatétény|219,90 M Ft|956 086 Ft / m2|230 m2|230 m2||21|https://ingatlan.com/34893759
183|Budapest XXII. kerület, Zsineg utca|159,99 M Ft|1 441 351 Ft / m2|111 m2|550 m2||2|https://ingatlan.com/34708426
184|Budapest XXII. kerület, Péter-Pál köz|250 M Ft|1 666 666 Ft / m2|150 m2|500 m2||27|https://ingatlan.com/34863014
185|Budapest XXII. kerület, Arany János utca|153 M Ft|772 727 Ft / m2|198 m2|1082 m2||24|https://ingatlan.com/34784346
186|Budapest XXII. kerület, Bajcsy-Zsilinszky utca|174,90 M Ft|694 047 Ft / m2|252 m2|252 m2||20|https://ingatlan.com/34718751
187|Budapest XXII. kerület, Budafok|174,99 M Ft|945 891 Ft / m2|185 m2|600 m2||13|https://ingatlan.com/34701931
190|Budapest XXII. kerület, Budafok|185 M Ft|1 000 000 Ft / m2|185 m2|600 m2||27|https://ingatlan.com/34177275
191|Budapest XXII. kerület, Budafok|288 M Ft|1 907 284 Ft / m2|151 m2|460 m2|4 + 1 fél|28|https://ingatlan.com/34706417
192|Budapest XXII. kerület, Gádor utca|164 M Ft|585 714 Ft / m2|280 m2|280 m2|4 + 2 fél|2|https://ingatlan.com/20274523
193|Budapest XXII. kerület, Nagytétény - Óhegy|114,90 M Ft|1 115 533 Ft / m2|103 m2|430 m2|3 + 1 fél|26|https://ingatlan.com/34889995
194|Budapest XXII. kerület, Vereskő utca 4.|315,13 M Ft|1 388 237 Ft / m2|227 m2|227 m2||3|https://ingatlan.com/33438523
