id|cim|teljes_ar|nm_ar|terulet|telekterulet|szobak|kepek_szama|link
43|Budapest XII. kerület, Orbánhegy|399 M Ft|1 140 000 Ft / m2|350 m2|350 m2||7|https://ingatlan.com/34862542
44|Budapest XII. kerület, Farkasvölgy|649 M Ft|927 142 Ft / m2|700 m2|700 m2||30|https://ingatlan.com/34917042
45|Budapest XII. kerület, Svábhegy|495 M Ft|1 100 000 Ft / m2|450 m2|450 m2||30|https://ingatlan.com/34375026
46|Budapest XII. kerület, Eötvös út|495 M Ft|1 100 000 Ft / m2|450 m2|450 m2||20|https://ingatlan.com/34696558
47|Budapest XII. kerület, Galgóczy utca|450 M Ft|1 097 560 Ft / m2|410 m2|410 m2||18|https://ingatlan.com/34622252
48|Budapest XII. kerület, Orbánhegy|440 M Ft|1 760 000 Ft / m2|250 m2|250 m2||10|https://ingatlan.com/34716161
49|Budapest XII. kerület, Diósárok köz|690 M Ft|2 948 717 Ft / m2|234 m2|234 m2||29|https://ingatlan.com/34677100
50|Budapest XII. kerület, Zugliget|799 M Ft|1 210 606 Ft / m2|660 m2|660 m2||15|https://ingatlan.com/34617829
51|Budapest XII. kerület, Széchenyihegy|649 M Ft|811 250 Ft / m2|800 m2|800 m2||21|https://ingatlan.com/34799320
52|Budapest XII. kerület, Széchenyihegy|274,90 M Ft|1 099 600 Ft / m2|250 m2|250 m2||6|https://ingatlan.com/34657086
53|Budapest XII. kerület, Istenhegy|800 M Ft|919 540 Ft / m2|870 m2|870 m2||12|https://ingatlan.com/34015883
54|Budapest XII. kerület, Kútvölgy|999 M Ft|2 541 984 Ft / m2|393 m2|393 m2||5|https://ingatlan.com/34441750
55|Budapest XII. kerület, Farkasvölgy|469 M Ft|1 663 120 Ft / m2|282 m2|282 m2||27|https://ingatlan.com/34847111
56|Budapest XII. kerület, Svábhegy|1,27 Mrd Ft|2 649 328 Ft / m2|480 m2|480 m2||12|https://ingatlan.com/32894768
57|Budapest XII. kerület, Magasút|249 M Ft|1 296 875 Ft / m2|192 m2|505 m2||15|https://ingatlan.com/34932382
58|Budapest XII. kerület, Istenhegyi út|250 M Ft|1 077 586 Ft / m2|232 m2|232 m2|5 + 3 fél|21|https://ingatlan.com/34779010
59|Budapest XII. kerület, Orbánhegy|890 M Ft|1 780 000 Ft / m2|500 m2|500 m2||29|https://ingatlan.com/34760888
60|Budapest XII. kerület, Zólyomi lépcső|287 M Ft|1 310 502 Ft / m2|219 m2|219 m2||25|https://ingatlan.com/34788543
61|Budapest XII. kerület, Farkasvölgy|299 M Ft|996 666 Ft / m2|300 m2|300 m2||23|https://ingatlan.com/34775866
62|Budapest XII. kerület, Zsolna utca|799 M Ft|2 663 333 Ft / m2|300 m2|300 m2||30|https://ingatlan.com/34780528
63|Budapest XII. kerület, Mátyás király út|549,90 M Ft|846 000 Ft / m2|650 m2|650 m2||30|https://ingatlan.com/34929088
64|Budapest XII. kerület, Széchenyihegy|550 M Ft|1 053 639 Ft / m2|522 m2|522 m2||7|https://ingatlan.com/34687222
65|Budapest XII. kerület, Rácz Aladár út|274,89 M Ft|1 099 560 Ft / m2|250 m2|250 m2||24|https://ingatlan.com/34118724
66|Budapest XII. kerület, Magasút|249 M Ft|1 296 875 Ft / m2|192 m2|505 m2||20|https://ingatlan.com/34913528
67|Budapest XII. kerület, Széchenyihegy|499 M Ft|1 188 095 Ft / m2|420 m2|420 m2||8|https://ingatlan.com/34623757
68|Budapest XII. kerület, Széchenyihegy|499 M Ft|1 185 273 Ft / m2|421 m2|421 m2||13|https://ingatlan.com/33498874
