id|cim|teljes_ar|nm_ar|terulet|telekterulet|szobak|kepek_szama|link
114|Budapest XII. kerület, Németvölgy|985 M Ft|2 698 630 Ft / m2|365 m2|365 m2|5 + 1 fél|3|https://ingatlan.com/34802500
115|Budapest XII. kerület, Farkasvölgy|349 M Ft|767 032 Ft / m2|455 m2|455 m2||16|https://ingatlan.com/34774253
116|Budapest XII. kerület, Tusnádi utca|917,17 M Ft|1 667 583 Ft / m2|550 m2|550 m2||17|https://ingatlan.com/34034506
117|Budapest XII. kerület, Mártonhegy|315 M Ft|729 166 Ft / m2|432 m2|432 m2||22|https://ingatlan.com/34057333
118|Budapest XII. kerület, Virányos|590 M Ft|4 068 965 Ft / m2|145 m2|2250 m2||15|https://ingatlan.com/34804160
119|Budapest XII. kerület, Farkasvölgy|880 M Ft|2 346 666 Ft / m2|375 m2|375 m2||29|https://ingatlan.com/34788375
120|Budapest XII. kerület, Kútvölgy|798 M Ft|1 330 000 Ft / m2|600 m2|600 m2||28|https://ingatlan.com/34854824
121|Budapest XII. kerület, Svábhegy|1,79 Mrd Ft|4 486 162 Ft / m2|400 m2|400 m2|7 + 2 fél|21|https://ingatlan.com/33416577
122|Budapest XII. kerület, Kútvölgy|399 M Ft|1 330 000 Ft / m2|300 m2|300 m2||23|https://ingatlan.com/34854891
123|Budapest XII. kerület, Széchenyihegy|499 M Ft|1 091 903 Ft / m2|457 m2|457 m2|10 + 2 fél|30|https://ingatlan.com/34507857
124|Budapest XII. kerület, Öröm utca|399 M Ft|973 170 Ft / m2|410 m2|410 m2||17|https://ingatlan.com/34205373
125|Budapest XII. kerület, Zugliget|2,39 Mrd Ft|3 987 700 Ft / m2|600 m2|600 m2||22|https://ingatlan.com/33414769
126|Budapest XII. kerület, Svábhegy|329 M Ft|1 134 482 Ft / m2|290 m2|290 m2||30|https://ingatlan.com/34830871
127|Budapest XII. kerület, Perem ösvény 13.|30 M Ft|666 666 Ft / m2|45 m2|524 m2|1 + 1 fél|12|https://ingatlan.com/33908689
128|Budapest XII. kerület, Orbánhegy|460 M Ft|1 022 222 Ft / m2|450 m2|450 m2||14|https://ingatlan.com/33952519
